iter	Passed	Remaining
0	57	57833
1	58	29111
2	58	19482
3	59	14714
4	59	11818
5	59	9901
6	60	8520
7	60	7483
8	60	6677
9	60	6036
10	61	5504
11	61	5069
12	61	4699
13	62	4386
14	62	4105
15	62	3863
16	63	3646
17	63	3456
18	63	3284
19	63	3130
20	64	2991
21	64	2863
22	64	2749
23	64	2643
24	65	2546
25	65	2455
26	65	2375
27	66	2296
28	66	2225
29	66	2161
30	67	2099
31	67	2039
32	67	1983
33	67	1931
34	68	1883
35	68	1834
36	68	1789
37	69	1747
38	69	1706
39	69	1667
40	69	1634
41	70	1598
42	70	1566
43	70	1534
44	70	1504
45	71	1476
46	71	1449
47	71	1424
48	72	1397
49	72	1374
50	72	1351
51	72	1330
52	73	1308
53	73	1288
54	73	1267
55	74	1248
56	74	1229
57	74	1210
58	74	1192
59	74	1174
60	75	1157
61	75	1141
62	75	1125
63	75	1109
64	76	1095
65	76	1080
66	76	1067
67	76	1051
68	76	1038
69	77	1026
70	77	1015
71	77	1003
72	78	991
73	78	980
74	78	970
75	78	959
76	79	949
77	79	938
78	79	929
79	79	919
80	80	910
81	80	900
82	80	891
83	80	882
84	81	873
85	81	866
86	81	857
87	81	849
88	82	841
89	82	834
90	82	826
91	82	818
92	83	812
93	83	805
94	83	797
95	84	791
96	84	784
97	84	777
98	84	771
99	84	764
100	85	758
101	85	750
102	85	745
103	85	739
104	86	733
105	86	728
106	86	722
107	86	717
108	87	711
109	87	706
110	87	700
111	87	695
112	87	690
113	88	685
114	88	680
115	88	675
116	88	671
117	89	666
118	89	661
119	89	657
120	89	653
121	90	648
122	90	643
123	90	639
124	90	635
125	91	631
126	91	627
127	91	623
128	91	619
129	92	615
130	92	612
131	92	608
132	92	604
133	93	601
134	93	597
135	93	594
136	93	590
137	93	586
138	94	583
139	94	580
140	94	577
141	95	574
142	95	570
143	95	568
144	95	565
145	96	562
146	96	559
147	96	556
148	96	552
149	97	550
150	97	547
151	97	543
152	97	541
153	98	538
154	98	535
155	98	532
156	98	529
157	98	527
158	99	524
159	99	521
160	99	518
161	99	516
162	100	514
163	100	512
164	100	509
165	100	507
166	101	505
167	101	503
168	101	500
169	102	498
170	102	496
171	102	494
172	102	492
173	103	489
174	104	490
175	104	488
176	104	486
177	104	484
178	105	481
179	105	479
180	105	477
181	105	475
182	105	472
183	106	471
184	106	469
185	106	467
186	107	465
187	107	463
188	107	461
189	107	459
190	108	457
191	108	455
192	108	453
193	108	451
194	109	450
195	109	448
196	109	446
197	109	444
198	109	442
199	110	440
200	110	439
201	110	438
202	111	436
203	111	434
204	111	433
205	111	431
206	112	429
207	112	428
208	112	427
209	113	425
210	113	423
211	113	422
212	113	420
213	114	419
214	114	417
215	114	415
216	114	414
217	115	413
218	115	411
219	115	409
220	115	408
221	116	406
222	116	405
223	116	403
224	116	402
225	117	400
226	117	399
227	117	398
228	117	396
229	118	395
230	118	393
231	118	392
232	118	391
233	119	389
234	119	388
235	119	387
236	119	386
237	120	384
238	120	383
239	120	382
240	120	381
241	121	379
242	121	378
243	121	377
244	121	375
245	122	374
246	122	373
247	122	371
248	122	370
249	123	369
250	123	367
251	123	366
252	123	365
253	123	364
254	124	363
255	124	361
256	124	360
257	125	359
258	125	358
259	125	357
260	125	356
261	126	355
262	127	356
263	127	355
264	127	354
265	127	353
266	128	352
267	128	350
268	128	349
269	128	348
270	129	347
271	129	346
272	129	345
273	129	344
274	130	343
275	130	342
276	130	340
277	130	339
278	131	338
279	131	337
280	131	336
281	131	335
282	132	334
283	132	333
284	132	332
285	133	332
286	133	331
287	133	330
288	133	329
289	134	328
290	134	327
291	134	326
292	134	325
293	135	324
294	135	323
295	135	322
296	135	321
297	136	320
298	136	320
299	136	319
300	137	320
301	138	319
302	138	318
303	138	317
304	139	316
305	139	315
306	139	314
307	139	314
308	140	313
309	140	312
310	140	311
311	140	310
312	140	309
313	141	308
314	141	307
315	141	307
316	142	306
317	142	305
318	142	304
319	142	303
320	143	302
321	143	302
322	143	301
323	144	300
324	144	299
325	144	299
326	144	298
327	145	297
328	145	296
329	145	295
330	145	294
331	146	294
332	146	293
333	146	292
334	146	291
335	147	290
336	147	290
337	147	289
338	148	288
339	148	288
340	148	287
341	148	286
342	149	285
343	149	284
344	149	284
345	149	283
346	150	282
347	150	281
348	150	281
349	151	280
350	151	279
351	151	278
352	151	278
353	152	277
354	152	276
355	152	275
356	152	275
357	153	274
358	153	274
359	153	273
360	153	272
361	154	271
362	154	271
363	154	270
364	154	269
365	155	268
366	155	268
367	155	267
368	156	266
369	156	266
370	156	265
371	156	264
372	157	264
373	157	263
374	157	262
375	158	262
376	158	261
377	158	260
378	158	260
379	159	259
380	159	259
381	159	258
382	160	257
383	160	257
384	160	256
385	160	255
386	161	255
387	161	254
388	161	253
389	161	253
390	162	252
391	162	251
392	162	251
393	162	250
394	163	249
395	163	249
396	163	248
397	163	247
398	164	247
399	164	246
400	164	246
401	165	245
402	165	244
403	165	244
404	166	244
405	166	243
406	166	242
407	166	242
408	167	241
409	167	240
410	167	240
411	167	239
412	168	238
413	168	238
414	168	237
415	168	237
416	169	236
417	169	235
418	169	235
419	169	234
420	170	234
421	170	233
422	170	232
423	170	232
424	171	231
425	171	231
426	171	230
427	172	229
428	172	229
429	172	228
430	172	228
431	173	227
432	173	226
433	173	226
434	173	225
435	174	225
436	174	224
437	174	224
438	174	223
439	175	223
440	175	222
441	175	221
442	176	221
443	176	220
444	176	220
445	176	219
446	177	219
447	177	218
448	177	217
449	177	217
450	178	216
451	178	216
452	178	215
453	179	215
454	179	214
455	179	214
456	179	213
457	180	213
458	180	212
459	180	211
460	180	211
461	181	210
462	181	210
463	181	209
464	181	209
465	182	208
466	182	208
467	182	207
468	183	207
469	183	206
470	183	206
471	183	205
472	184	205
473	184	204
474	184	204
475	184	203
476	185	202
477	185	202
478	185	202
479	185	201
480	186	200
481	186	200
482	186	199
483	187	199
484	187	198
485	187	198
486	187	197
487	187	197
488	188	196
489	188	196
490	188	195
491	188	195
492	189	194
493	189	194
494	189	193
495	189	193
496	190	192
497	190	191
498	190	191
499	190	190
500	191	190
501	191	189
502	191	189
503	192	188
504	192	188
505	192	187
506	192	187
507	192	186
508	193	186
509	193	185
510	193	185
511	193	184
512	194	184
513	194	183
514	194	183
515	195	182
516	195	182
517	195	181
518	195	181
519	195	180
520	196	180
521	196	179
522	196	179
523	197	178
524	197	178
525	197	177
526	197	177
527	198	177
528	198	176
529	198	176
530	198	175
531	199	175
532	199	174
533	199	174
534	199	173
535	200	173
536	200	172
537	200	172
538	200	171
539	201	171
540	201	170
541	201	170
542	202	170
543	202	170
544	203	169
545	203	169
546	203	168
547	203	168
548	204	167
549	204	167
550	204	166
551	205	166
552	205	166
553	205	165
554	206	165
555	206	164
556	206	164
557	206	163
558	207	163
559	207	162
560	207	162
561	207	161
562	208	161
563	208	161
564	208	160
565	208	160
566	209	159
567	209	159
568	209	158
569	209	158
570	210	157
571	210	157
572	210	156
573	210	156
574	211	156
575	211	155
576	211	155
577	211	154
578	212	154
579	212	153
580	212	153
581	213	153
582	213	152
583	214	152
584	214	152
585	214	151
586	214	151
587	215	150
588	215	150
589	215	149
590	215	149
591	216	148
592	216	148
593	216	148
594	217	147
595	217	147
596	217	146
597	217	146
598	218	145
599	218	145
600	218	145
601	218	144
602	219	144
603	219	143
604	219	143
605	220	143
606	220	142
607	220	142
608	220	141
609	221	141
610	221	140
611	221	140
612	221	140
613	222	139
614	222	139
615	222	138
616	223	138
617	223	138
618	223	137
619	223	137
620	224	136
621	224	136
622	224	135
623	225	135
624	225	135
625	225	134
626	225	134
627	225	133
628	226	133
629	226	132
630	226	132
631	226	132
632	227	131
633	227	131
634	227	130
635	227	130
636	228	130
637	228	129
638	228	129
639	228	128
640	229	128
641	229	127
642	229	127
643	229	127
644	230	126
645	230	126
646	230	125
647	230	125
648	231	125
649	231	124
650	231	124
651	231	123
652	232	123
653	232	122
654	232	122
655	233	122
656	233	121
657	233	121
658	233	120
659	234	120
660	234	120
661	234	119
662	234	119
663	235	118
664	235	118
665	235	118
666	236	117
667	236	117
668	236	117
669	236	116
670	236	116
671	237	115
672	237	115
673	237	114
674	238	114
675	238	114
676	238	113
677	238	113
678	239	112
679	239	112
680	239	112
681	239	111
682	240	111
683	240	111
684	240	110
685	240	110
686	241	109
687	241	109
688	241	109
689	241	108
690	242	108
691	242	107
692	242	107
693	243	107
694	243	106
695	243	106
696	243	106
697	244	105
698	244	105
699	244	104
700	244	104
701	245	104
702	245	103
703	245	103
704	245	102
705	246	102
706	246	102
707	246	101
708	246	101
709	247	100
710	247	100
711	247	100
712	247	99
713	248	99
714	248	99
715	248	98
716	248	98
717	249	97
718	249	97
719	249	97
720	250	96
721	250	96
722	250	95
723	250	95
724	251	95
725	251	94
726	251	94
727	251	94
728	252	93
729	252	93
730	252	92
731	252	92
732	253	92
733	253	91
734	253	91
735	253	91
736	253	90
737	254	90
738	254	89
739	254	89
740	254	89
741	255	88
742	255	88
743	255	87
744	255	87
745	256	87
746	256	86
747	256	86
748	257	86
749	257	85
750	257	85
751	257	85
752	258	84
753	258	84
754	258	83
755	258	83
756	259	83
757	259	82
758	259	82
759	259	82
760	260	81
761	260	81
762	260	80
763	260	80
764	261	80
765	261	79
766	261	79
767	261	79
768	262	78
769	262	78
770	262	78
771	262	77
772	263	77
773	263	76
774	263	76
775	263	76
776	264	75
777	264	75
778	264	75
779	264	74
780	265	74
781	265	74
782	265	73
783	265	73
784	266	72
785	266	72
786	266	72
787	267	71
788	267	71
789	267	71
790	267	70
791	267	70
792	268	70
793	268	69
794	268	69
795	269	68
796	269	68
797	269	68
798	269	67
799	269	67
800	270	67
801	270	66
802	270	66
803	270	66
804	271	65
805	271	65
806	271	64
807	271	64
808	272	64
809	272	63
810	272	63
811	272	63
812	272	62
813	273	62
814	273	62
815	273	61
816	273	61
817	274	61
818	274	60
819	274	60
820	275	59
821	275	59
822	275	59
823	275	58
824	276	58
825	276	58
826	276	57
827	276	57
828	277	57
829	277	56
830	277	56
831	278	56
832	278	55
833	278	55
834	278	55
835	279	54
836	279	54
837	279	54
838	279	53
839	280	53
840	280	53
841	280	52
842	280	52
843	281	51
844	281	51
845	281	51
846	281	50
847	282	50
848	282	50
849	282	49
850	282	49
851	283	49
852	283	48
853	283	48
854	283	48
855	284	47
856	284	47
857	284	47
858	285	46
859	285	46
860	285	46
861	285	45
862	286	45
863	286	45
864	286	44
865	286	44
866	287	44
867	287	43
868	287	43
869	288	43
870	288	42
871	288	42
872	288	42
873	289	41
874	289	41
875	289	40
876	289	40
877	290	40
878	290	39
879	290	39
880	290	39
881	291	38
882	291	38
883	291	38
884	292	37
885	292	37
886	292	37
887	292	36
888	293	36
889	293	36
890	293	35
891	293	35
892	294	35
893	294	34
894	294	34
895	294	34
896	295	33
897	295	33
898	295	33
899	295	32
900	296	32
901	296	32
902	296	31
903	296	31
904	297	31
905	297	30
906	297	30
907	297	30
908	298	29
909	298	29
910	299	29
911	299	28
912	300	28
913	300	28
914	300	27
915	300	27
916	300	27
917	301	26
918	301	26
919	301	26
920	302	25
921	302	25
922	302	25
923	302	24
924	303	24
925	303	24
926	303	23
927	303	23
928	304	23
929	304	22
930	304	22
931	304	22
932	305	21
933	305	21
934	305	21
935	306	20
936	306	20
937	306	20
938	306	19
939	307	19
940	307	19
941	307	18
942	307	18
943	308	18
944	308	17
945	308	17
946	308	17
947	309	16
948	309	16
949	309	16
950	309	15
951	310	15
952	310	15
953	310	14
954	310	14
955	311	14
956	311	13
957	311	13
958	311	13
959	312	13
960	312	12
961	312	12
962	312	12
963	313	11
964	313	11
965	313	11
966	313	10
967	314	10
968	314	10
969	314	9
970	314	9
971	315	9
972	315	8
973	315	8
974	315	8
975	316	7
976	316	7
977	316	7
978	317	6
979	317	6
980	317	6
981	318	5
982	318	5
983	318	5
984	318	4
985	319	4
986	319	4
987	319	3
988	320	3
989	320	3
990	320	2
991	320	2
992	321	2
993	321	1
994	321	1
995	321	1
996	322	0
997	322	0
998	322	0
999	322	0
